Column1,id,cmt,giá,dịch_vụ,an_toàn,chất_lượng,ship,other,chính_hãng
1,18093,"shop đóng_gói cẩn_thận , giao hàng . bé uống hợp . ủng_hộ",0,0,0,1,1,0,0
2,18092,"giao hàng , , sản_phẩm tốt , ủng_hộ shop dài_dài",0,0,0,1,1,0,0
3,18091,shop giao hàng đóng cẩn_thận móp một hộp . chưa không chất_lượng,0,1,0,0,1,0,0
4,18090,hình_ảnh không . shop giao hàng . đóng_gói cẩn_thận . mua shop .,0,0,0,0,1,0,0
7,18087,"shop flash sale giá tốt , hộp giao nguyên_vẹn , hạn 202 ưng_ý",1,0,1,0,1,0,0
9,18085,laz không phí ship giao hàng 1 . shoppe phí giao hàng giao hàng . hên chưa sữa mua dự_trữ sẵn trc . đợi shop giao đói .,0,0,0,0,-1,0,0
10,18084,sp tốt nha,0,0,0,1,0,0,0
11,18083,không hợp_tác sữa,0,0,0,0,0,1,0
14,18080,giao hàng dã_man đóng_gói cẩn_thận nè mua ak,0,0,0,0,1,0,0
16,18078,mua trữ sẵn nhân khuyến_mãi . ngay_dịch giao hàng hơi . lẻ vận_chuyển delay,1,0,0,0,-1,0,0
17,18077,sữa thơm ngon không bé cân không hiệu_quả ủng_hộ dài_dài,0,0,0,1,0,0,0
18,18076,mua không đánh_giá_như : ) hi,0,0,0,0,0,1,0
20,18074,"hàng chất_lượng , mua shop nh r 👍",0,0,0,1,0,0,0
21,18073,sữa bé uống oke . uống tin_dùng hãng thui . mua giá rẻ . mua 2 lon lon .,1,0,0,1,0,0,0
22,18072,hài_lòng . shop đóng_gói hàng cẩn_thận . đúng date . ủng_hộ,0,0,1,0,1,0,0
23,18071,"mua hàng shop thất_vọng , méo mất 1 hộp , giao hàng tận 12 hôm hàng , thoi mua hàng shop shop 5 ủng_hộ shop ☺ ️ ☺ ️",0,0,0,0,-1,0,0
24,18070,"mua , shop . phát hàng , phục_vụ tốt . ủng_hộ lâu_dài",0,1,0,0,1,0,0
25,18069,"giao hàng . đóng_gói sản_phẩm cẩn_thận , chất_lượng sản_phẩm tốt",0,0,0,1,1,0,0
26,18068,hộp móp,0,0,0,0,-1,0,0
27,18067,"sữa chuẩn , đóng_gói cẩn_thận , mua 3 - 4 shop ủng_hộ",0,0,0,0,1,0,1
28,18066,giao hàng . sản_phẩm hài_lòng . ủng_hộ,0,0,0,1,1,0,0
29,18065,giao hàng gói sản_phẩm tốt . bé hài_lòng . ❤,0,0,0,1,1,0,0
31,18063,giao hàng bình_thường lon sữa mốp không chất_lượng tốt mua tiếp,0,0,0,1,-1,0,0
32,18062,"đóng_gói cẩn_thận , sản_phẩm như hình , tuyệt_vời ad",0,0,0,0,1,0,1
35,18059,"giao hàng , mua quà tặng kèm",0,1,0,0,1,0,0
38,18056,giao hàng . đóng_gói cẩn_thận . hài_lòng . chất_lượng chưa chưa,0,0,0,0,1,0,0
41,18053,"xu , khen shop ngại ahihih đủ chữ",0,0,0,0,0,1,0
42,18052,"giao hàng , tặng sữa gói",0,1,0,0,1,0,0
43,18051,mua 2,0,0,0,0,0,1,0
44,18050,shop ship hàng siêu . trưa . cskh tốt . cháu ủng_hộ tiếp 👍 🏻,0,1,0,0,1,0,0
45,18049,"hàng , mong 2 mua",0,0,0,0,0,1,0
46,18048,hàng hàng gói cẩn_thận,0,0,0,0,1,0,0
47,18047,sản_phẩm tốt hạn yên_tâm,0,0,1,1,0,0,0
48,18046,đóng_gói lon móp méo v 😪,0,0,0,0,-1,0,0
49,18045,sữa thơm . chuẩn . hôm hôm . tốt,0,0,0,1,1,0,0
50,18044,"chất_lượng sản_phẩm tốt , giao hàng , đóng_gói sản_phẩm cẩn_thận",0,0,0,1,1,0,0
52,18042,giao hàng . đóng_gói sản_phẩm cẩn_thận . hình_ảnh không . chúc shop đk hàng,0,0,0,0,1,0,0
55,18039,gói hàng . sản_phẩm tốt giao hàng .,0,0,0,1,1,0,0
59,18035,hàng giao hàng đóng_gói cẩn_thận chất_lượng sản_phẩm giá tiền chưa chưa chất_lượng oke ủng_hộ,0,0,0,0,1,0,0
61,18033,"shop gửi hàng , đóng_gói vận_chuyển hơi móp một xíu , chưa uống chưa chất_lượng sữa tn",0,0,0,0,1,0,0
63,18031,"sữa thơm ngon , hoa_quả hạn . shop gói hàng cẩn_thận . ủng_hộ",0,0,1,1,1,0,0
64,18030,"ok . chưa chưa . giao cực , xém định hủy_đơn .",0,0,0,1,-1,0,0
65,18029,đóng_gói giao hàng,0,0,0,0,1,0,0
68,18026,"giao hàng check mã_vạch , chưa nắp không chất_lượng . đóng_gói chăc chắn",0,0,0,0,1,0,1
69,18025,shop đóng_gói hàng kỹ . giao hàng . giá tốt . hạn_dùng . mua nhu_cầu .,1,0,1,0,1,0,0
70,18024,date đóng hàng cẩn_thận hi_vọng bé,0,0,1,0,1,0,0
71,18023,"hàng đóng_gói okie , sản_phẩm chưa chưa như . mua đứa như phản_hồi , nghe sữa abbot tốt mua thử như .",0,0,0,0,1,0,0
72,18022,"sản_phẩm_chất_lượng , giá_cả mua shop chưa thất_vọng",1,0,0,1,0,0,0
73,18021,"giao hàng , shop không rep nhắn . sữa hạn . shop nâng chất_lượng phục_vụ khách_hàng . động_viên shop 5sao",0,-1,1,0,-1,0,0
74,18020,"shop đóng_gói cẩn_thận . sữa chuẩn , hạn , mua ủng_hộ",0,0,1,0,1,0,1
75,18019,"mua 2 shop , shop gói hàng siêu cẩn_thận , ủng_hộ",0,0,0,0,1,0,0
78,18016,giao hàng gói hàng kỹ mua shop shop chu_đáo,0,0,0,0,1,0,0
79,18015,"ship , giá rẻ , hàng chuẩn . trả_lời , n mua shop : )",1,1,0,0,1,0,1
81,18013,sữa hạn đóng_gói giao hàng nhanh_chóng ủng_hộ shop,0,0,1,1,1,0,0
82,18012,sản_phẩm uống r chưa kịp nêu cảm_nhận 🤣 🌻,0,0,0,0,0,1,0
83,18011,shop giao đủ hàng . chút nhầm_lẫn không thành đề . ủng_hộ shop 😊,0,0,0,0,1,0,0
85,18009,hàng như gói cẩn_thận . chưa thử mẫu_mã như mẫu,0,0,0,0,1,0,1
86,18008,"shop gói hàng cẩn_thận , giao hàng , tv uống sữa đỡ táo hẳn",0,0,1,0,1,0,0
87,18007,ủng_hộ shop chất_lượng giá_cả hợp_lý .,1,0,0,1,0,0,0
88,18006,"đóng_gói cẩn_thận , hộp sữa hơi móp",0,0,0,0,1,0,0
90,18004,chất_lượng oke bỉm mua . shop không đóng kèm quà tặng,0,-1,0,1,0,0,0
95,17999,"giao hàng , chất_lượng sản_phẩm tốt . đóng_gói cẩn_thận",0,0,0,1,1,0,0
96,17998,giá rẻ bé không hợp_tác hơi buồn . giao hàng . ủng_hộ,1,0,0,0,1,0,0
97,17997,"đóng_gói cẩn_thận , giao hàng , giá rẻ , chưa check mã không giả , bé hợp_tác ủng_hộ shop",1,0,0,0,1,0,0
99,17995,"sp đóng_gói cẩn_thận , hạn 2022 , vote 5 shop",0,0,1,0,1,0,0
100,17994,"sản_phẩm_chất_lượng tốt , đóng_gói cẩn_thận , giao hàng nhanh_chóng",0,0,0,1,1,0,0
101,17993,ko ảnh tạm ảnh ! shop đóng_gói đẹp giao ! date_dài ! thank_shop,0,0,1,1,1,0,0
102,17992,hàng tốt hạn,0,0,1,1,0,0,0
103,17991,đóng_gói sản_phẩm sữa thơm ngon tiếc bé không hợp_tác,0,0,0,1,1,0,0
104,17990,sữa móp không 5,0,0,0,0,-1,0,0
105,17989,hàng chưa chưa đc .,0,0,0,0,0,1,0
106,17988,"hàng tốt , chất_lượng ok , 5sao nha iu kem mặn , 20 xu ố la",0,0,0,1,0,0,0
107,17987,"sp như mua , ok lắm",0,0,1,1,0,0,0
108,17986,mua shop . ủng họp shop lâu_dài .,0,0,0,0,0,1,0
109,17985,"sản_phẩm tốt , sưã thơm , pha shop giao hàng . .",0,0,0,1,1,0,0
110,17984,k s keo gắn . bột milo không mịn không ngon lắm . bé không .,0,0,-1,-1,0,0,0
112,17982,"yubest m trung_thành . dòng bỉm mỏng , nhẹ , thấm hút tốt , giá_cả . mua ah",1,0,0,1,0,0,0
113,17981,đầu mua tem chống hàng giả yên_tâm . date . ủng_hộ,0,0,1,0,0,0,1
114,17980,"giao hàng , shiper thân_thiện , shop đóng_gói cẩn_thận , đủ số_lượng",0,1,0,0,1,0,0
115,17979,"giao hàng sữa , mong hàng chuẩn",0,0,0,0,1,0,0
116,17978,"mua sale rẻ mấy chục lận . mặc_dù 2 lon sữa , sp tem đầy_đủ",1,0,0,0,0,0,1
117,17977,"sản_phẩm tốt , đóng_gói cẩn_thận , giao hàng oke . mua",0,0,0,1,1,0,0
118,17976,"hàng . ship cộng đồ siêu . 6h tối 9h r . shop bọc gói kỹ , hạn , chưa móp không giá sale cộng thái_độ phục_vụ như xứng_đáng 5 ☆ . thanks_shop",1,1,1,0,1,0,0
119,17975,hộp nguyên_vẹn . giao hàng hơi chậm tí bé uống sữa 1 .,0,0,0,0,-1,0,0
122,17972,mua hàng shop 2 . oke shop giao sữa hạn cũ lô oke,0,0,-1,1,0,0,0
126,17968,"đóng_gói , kĩ_càng dán hơi chặt",0,0,0,0,-1,0,0
127,17967,"giao hàng . đóng_gói hàng cẩn_thận date . 3 - 2021 ,",0,0,1,0,1,0,0
128,17966,ok nha . date hơi cũ mua mall . hàng chuẩn hãng . dc hoàn xu,0,0,0,1,0,0,1
129,17965,"hơi bao_bì mấy lon mua tiki , quét mã thông_tin đúng , vị thơm ngon",0,0,0,1,0,0,1
130,17964,chất_lượng sản_phẩm tốt . giao hàng . gói hàng 🧡,0,0,0,1,1,0,0
132,17962,"sản_phẩm tốt , mua giá flash sale , đóng_gói sản_phẩm đẹp , hạn ,",1,0,1,1,1,0,0
133,17961,giao hàng . đóng_gói sản_phẩm . sản_phẩm tốt mua shop,0,0,0,0,1,0,0
134,17960,"giao hàng siêu , đóng_gói , hạn xa_lắc , hi_vọng hợp sữa cân ủng_hộ shop",0,0,1,1,1,0,0
135,17959,"hàng tốt , giao hàng , đóng_gói sản_phẩm . tiền",1,0,0,1,1,0,0
137,17957,giao hàng . đóng_gói tương_đối . hạn_dùng 2021 . hài_lòng .,0,0,1,1,1,0,0
139,17955,"giao hàng , đóng_gói sản_phẩm cẩn_thận , chất_lượng chưa chưa",0,0,0,0,1,0,0
140,17954,"sản_phẩm y hình , đóng_gói không móp méo , túi_tiền , ủng_hộ",1,0,0,0,1,0,1
141,17953,mua 3 shop rùi . ưng ủng_hộ,0,0,0,0,0,1,0
143,17951,đóng_gói . giao siêu 😻 hàng công_ty đỡ lo trúng hàng giả !,0,0,0,0,1,0,1
144,17950,hàng chuẩn hãng shop đóng_gói cẩn_thận ủng_hộ shop,0,0,0,0,1,0,1
145,17949,giao hàng . bỉm . ủng_hộ sản_phẩm tiếp,0,0,0,1,1,0,0
146,17814,uống chưa lên_cân,0,0,0,0,0,1,0
148,17812,sản_phẩm săn sale tuyệt_vời . nhưngx nhu_cầu mua thích_hợp mua sale mã shop,0,0,0,0,0,1,0
149,17811,"giao hàng , đóng_gói cẩn_thận , ủng_hộ shop . shop uy_tín , chất_lượng tốt",0,1,0,1,1,0,0
152,17808,"giao hàng , chất_lượng sản_phẩm tốt . ủng_hộ shop tiếp",0,0,0,1,1,0,0
153,17807,"đóng_gói đẹp , giao hàng , quà tặng balo đẹp lắm nha , mua kèm deals 0 đồng 👍",1,1,0,0,1,0,0
